movieId,similar_movieId,relevance
1,588,0.8948413673443449
1,2,0.8372369573430605
1,596,0.8363096745033449
1,364,0.8324419072152769
1,13,0.8292311216377333
2,60,0.9015694845975115
2,126,0.8686643560473861
2,158,0.8622738595202648
2,1,0.8372369573430605
2,146,0.8294066126393389
3,122,0.9274096638983991
3,499,0.9109624689940485
3,186,0.9105250845859869
3,294,0.9089111781787449
3,237,0.9078384034541184
4,195,0.9265289887260696
4,539,0.914393336830331
4,351,0.9139635166708565
4,361,0.9060914792236208
4,94,0.9042309083464546
5,489,0.91088748839096
5,486,0.8985239086261383
5,274,0.8945800753786577
5,248,0.8928050265990369
5,460,0.8772301914717768
6,479,0.9033856941594312
6,293,0.9011225955754503
6,165,0.8950142638302186
6,592,0.8770017030645364
6,23,0.8760809307428494
7,339,0.9460988341304613
7,597,0.9447434774190513
7,252,0.9438625873927934
7,237,0.9375141109897797
7,289,0.9260544322547134
8,146,0.8960496823831678
8,238,0.8926569184685411
8,158,0.8827796127788581
8,484,0.8820995416972344
8,609,0.862129007574993
9,204,0.9454902516521606
9,71,0.9080010796904607
9,251,0.8749487414904873
9,227,0.8565634204291577
9,423,0.8181162430806262
10,494,0.8988189231484286
10,434,0.8972990246258628
10,95,0.8913428007314625
10,380,0.8679273147691935
10,547,0.857830135835613
11,539,0.9304741888977843
11,361,0.9231664721464483
11,440,0.9128741746992008
11,351,0.9089040507059067
11,4,0.8991533402965237
12,93,0.8696085135288536
12,520,0.8619999343608471
12,445,0.8538733841634752
12,65,0.8419007974440509
12,585,0.8340178215035134
13,484,0.8721505085507706
13,313,0.8714212813181019
13,609,0.8637479402498485
13,238,0.8598858818521496
13,364,0.8430229809713988
14,300,0.9255099871701779
14,475,0.9177902719587647
14,26,0.9050050350720287
14,354,0.900926349406985
14,529,0.8921747269487827
15,552,0.8906832408358853
15,380,0.8243940000809816
15,434,0.8133971968927501
15,95,0.8100485461046036
15,459,0.8023383262295531
16,431,0.9683985420866703
16,318,0.9178241615474088
16,81,0.8989702576363913
16,283,0.8987332458290866
16,290,0.8957479051099961
17,28,0.9775083825431214
17,515,0.9434738666588616
17,534,0.9216883525982521
17,105,0.9095771665551986
17,85,0.9078906845617642
18,176,0.9229588548889212
18,471,0.9192444886718651
18,125,0.9172112450838257
18,223,0.915821096296441
18,228,0.9148858345504389
19,344,0.9577142342040503
19,520,0.9289569145489454
19,65,0.9274037487754488
19,255,0.927319864754141
